,company,title,salary,location,submit date,start date,year,salary_normalized,level,category,relevance,cpi_pct
3797,FORD MOTOR COMPANY,CORE ELECTRICAL ARCHITECTURE ENGINEER,75420.0,"TROY, MI",12/28/2021,01/31/2022,2022,79130.0,Junior,Manufacturing,Relevant,1.0491910269771574
3798,FORD MOTOR COMPANY,CORE ERGONOMICS ENGINEER,81203.0,"DEARBORN, MI",07/17/2015,07/22/2015,2015,105416.0,Junior,General,Relevant,1.2981756685339816
3799,FORD MOTOR COMPANY,CORE FEATURE OWNER â SYSTEMS ENGINEER,86400.0,"DEARBORN, MI",06/08/2022,12/01/2022,2022,90650.0,Junior,Mechanical,Relevant,1.0491910269771574
3800,FORD MOTOR COMPANY,CORE FUNCTIONAL SAFETY ENGINEER,67642.0,"DEARBORN, MI",08/20/2015,10/05/2015,2015,87811.0,Junior,Safety/Thermal,Relevant,1.2981756685339816
3801,FORD MOTOR COMPANY,CORE FUNCTIONAL SAFETY ENGINEER,82618.0,"DEARBORN, MI",02/15/2019,08/10/2019,2019,98718.0,Junior,Safety/Thermal,Relevant,1.1948718547401682
3802,FORD MOTOR COMPANY,CORE FUNCTIONAL SAFETY ENGINEER,87443.0,"DEARBORN, MI",03/29/2016,09/28/2016,2016,111209.0,Junior,Safety/Thermal,Relevant,1.2717908148049968
3803,FORD MOTOR COMPANY,CORE INTEGRATION TEAM IT BUSINESS ANALYST,78874.0,"DEARBORN, MI",08/04/2017,08/21/2017,2017,98239.0,Junior,Business,Relevant,1.2455217341922085
3804,FORD MOTOR COMPANY,CORE NETWORK COMMS ENGINEER,81827.0,"ROCHESTER HILLS, MI",04/15/2021,05/24/2021,2021,90395.0,Junior,Software,Relevant,1.104706635773598
3805,FORD MOTOR COMPANY,CORE RADIO TUNER MODULE DESIGN & RELEASE ENGINEER,70200.0,"ALLEN PARK, MI",03/19/2019,04/08/2019,2019,83880.0,Junior,Battery General,Relevant,1.1948718547401682
3806,FORD MOTOR COMPANY,CORE RADIO TUNER MODULE DESIGN AND RELEASE ENGINEER,97000.0,"TROY, MI",10/28/2021,04/08/2022,2022,101772.0,Junior,Battery General,Relevant,1.0491910269771574
3807,FORD MOTOR COMPANY,CORE RESTRAINTS EDR ENGINEER,107973.0,"DEARBORN, MI",03/22/2023,04/10/2023,2023,107973.0,Junior,General,Relevant,1.0
3808,FORD MOTOR COMPANY,CORE SOFTWARE PROCESS ENGINEER,100880.0,"DEARBORN, MI",03/01/2019,03/06/2019,2019,120539.0,Junior,Software,Relevant,1.1948718547401682
3809,FORD MOTOR COMPANY,CORE SOFTWARE PROCESS ENGINEER,168750.0,"NOVI, MI",12/16/2021,12/21/2021,2021,186419.0,Junior,Software,Relevant,1.104706635773598
3810,FORD MOTOR COMPANY,CORE STEERING SIMULATION ENGINEER,82618.0,"DEARBORN, MI",02/01/2019,02/01/2019,2019,98718.0,Junior,Software,Relevant,1.1948718547401682
3811,FORD MOTOR COMPANY,CORE SYSTEMS ENGINEER,99320.0,"DEARBORN, MI",08/20/2021,01/21/2022,2022,104206.0,Junior,Electrical,Relevant,1.0491910269771574
3812,FORD MOTOR COMPANY,CORE SYSTEMS ENGINEER I,79498.0,"ALLEN PARK, MI",02/14/2020,02/24/2020,2020,93714.0,Junior,Electrical,Relevant,1.178816311800794
3813,FORD MOTOR COMPANY,CORE VEHDYN SIMULATION METHODS ENGINEER,84300.0,"DEARBORN, MI",03/07/2022,03/11/2022,2022,88447.0,Junior,Software,Relevant,1.0491910269771574
3814,FORD MOTOR COMPANY,CORE VEHDYN SIMULATION METHODS ENGINEER,84300.0,"DEARBORN, MI",09/02/2021,02/01/2022,2022,88447.0,Junior,Software,Relevant,1.0491910269771574
3815,FORD MOTOR COMPANY,CORE VEHICLE ERGONOMICS ENGINEER,81203.0,"DEARBORN, MI",09/20/2016,02/10/2017,2017,101140.0,Junior,Vehicle,Vehicle,1.2455217341922085
3816,FORD MOTOR COMPANY,CORE VEHICLE ERGONOMICS ENGINEER,82618.0,"DEARBORN, MI",06/07/2019,10/01/2019,2019,98718.0,Junior,Vehicle,Vehicle,1.1948718547401682
3817,FORD MOTOR COMPANY,CORROSION SCIENTIST,90397.0,"DEARBORN, MI",02/22/2019,08/15/2019,2019,108013.0,Junior,Research,Relevant,1.1948718547401682
3818,FORD MOTOR COMPANY,COTS SPECIALIST,112736.0,"NORTHVILLE, MI",11/11/2021,01/03/2022,2022,118282.0,Junior,,Relevant,1.0491910269771574
3819,FORD MOTOR COMPANY,COTS SPECIALIST,112736.0,"DEARBORN, MI",03/14/2022,07/16/2022,2022,118282.0,Junior,,Relevant,1.0491910269771574
3820,FORD MOTOR COMPANY,COTS SPECIALIST,112736.0,"FARMINGTON HILLS, MI",01/05/2022,01/12/2022,2022,118282.0,Junior,,Relevant,1.0491910269771574
3821,FORD MOTOR COMPANY,CRASH SAFETY ANALYST,112507.0,"FARMINGTON, MI",11/01/2021,11/29/2021,2021,124287.0,Junior,Vehicle,Relevant,1.104706635773598
3822,FORD MOTOR COMPANY,CRASH SAFETY ENGINEER - STRUCTURAL CRASHWORTHINESS,107973.0,"DEARBORN, MI",08/25/2022,10/10/2022,2022,113284.0,Junior,Vehicle,Relevant,1.0491910269771574
3823,FORD MOTOR COMPANY,CRASH SAFETY ENGINEER â PEDESTRIAN PROTECTION,117312.0,"ANN ARBOR, MI",08/09/2021,08/09/2021,2021,129595.0,Junior,Vehicle,Relevant,1.104706635773598
3824,FORD MOTOR COMPANY,CREDIT DIGITAL MARKETING SOFTWARE ENGINEERING ANCHOR,90189.0,"DEARBORN, MI",01/16/2020,01/21/2020,2020,106316.0,Junior,Business,Relevant,1.178816311800794
3825,FORD MOTOR COMPANY,CRM ANCHOR,115778.0,"GERMANTOWN, MD",11/01/2021,11/29/2021,2021,127901.0,Junior,,Relevant,1.104706635773598
3826,FORD MOTOR COMPANY,CRM ANCHOR,115778.0,"GERMANTOWN, MD",11/09/2021,11/29/2021,2021,127901.0,Junior,,Relevant,1.104706635773598
3827,FORD MOTOR CREDIT COMPANY LLC,CRM SOFTWARE ENGINEER,112736.0,"NOVI, MI",05/19/2022,06/06/2022,2022,118282.0,Junior,Software,Relevant,1.0491910269771574
3828,FORD MOTOR COMPANY,CROSS-FEATURE ARCHITECTURE ENGINEER,76980.0,"DEARBORN, MI",08/18/2022,08/18/2022,2022,80767.0,Junior,Manufacturing,Relevant,1.0491910269771574
3829,FORD MOTOR COMPANY,CSSO APPLINK TEST LEAD,55682.0,"DEARBORN, MI",08/11/2015,10/01/2015,2015,72285.0,Staff,Test/QA,Relevant,1.2981756685339816
3830,FORD MOTOR COMPANY,CUSTOMER 360 PRODUCT MANAGER,88260.0,"SOUTH LYON, MI",05/19/2022,07/04/2022,2022,92602.0,Junior,PM,Relevant,1.0491910269771574
3831,FORD MOTOR COMPANY,CVPP EMERGENCY SERVICES PRODUCT CORE ENGINEER,66664.0,"DEARBORN, MI",01/14/2019,02/04/2019,2019,79655.0,Junior,General,Relevant,1.1948718547401682
3832,FORD MOTOR COMPANY,CVPP EMERGENCY SERVICES PRODUCT CORE ENGINEER,100942.0,"CANTON, MI",08/20/2021,02/04/2022,2022,105907.0,Junior,General,Relevant,1.0491910269771574
3833,FORD MOTOR COMPANY,CX DATA ANALYST,84300.0,"DEARBORN, MI",03/30/2021,04/12/2021,2021,93127.0,Junior,Software,Relevant,1.104706635773598
3834,FORD MOTOR COMPANY,CX DATA ANALYST,86400.0,"DETROIT, MI",01/07/2022,01/12/2022,2022,90650.0,Junior,Software,Relevant,1.0491910269771574
3835,FORD MOTOR COMPANY,CX DATA SCIENTIST,92186.0,"DEARBORN, MI",10/16/2020,10/26/2020,2020,108670.0,Junior,Software,Relevant,1.178816311800794
3836,FORD MOTOR COMPANY,CYBER DEFENSE PEOPLE LEADER,124114.0,"DEARBORN, MI",12/23/2022,01/03/2023,2023,124114.0,Staff,,Relevant,1.0
3837,FORD MOTOR COMPANY,CYBERSECURITY CORE ENGINEER,110132.0,"FARMINGTON HILLS, MI",04/22/2021,08/17/2021,2021,121664.0,Junior,General,Relevant,1.104706635773598
3838,FORD MOTOR COMPANY,CYBERSECURITY EMBEDDED HARDWARE SECURITY ENGINEER,59160.0,"DEARBORN, MI",02/28/2017,08/16/2017,2017,73685.0,Junior,Electrical,Relevant,1.2455217341922085
3839,FORD MOTOR COMPANY,CYBERSECURITY EMBEDDED HARDWARE SECURITY ENGINEER,59160.0,"DEARBORN, MI",03/06/2017,09/02/2017,2017,73685.0,Junior,Electrical,Relevant,1.2455217341922085
3840,FORD MOTOR COMPANY,CYBERSECURITY EMBEDDED HARDWARE SECURITY ENGINEER,67683.0,"DEARBORN, MI",03/01/2018,08/17/2018,2018,82721.0,Junior,Electrical,Relevant,1.2221762268491798
3841,FORD MOTOR CREDIT COMPANY LLC,CYBERSECURITY ENABLEMENT ENGINEER,105664.0,"CANTON, MI",09/24/2020,10/05/2020,2020,124558.0,Junior,General,Relevant,1.178816311800794
3842,FORD MOTOR COMPANY,CYBERSECURITY ENGINEER,83824.0,"PALO ALTO, CA",03/19/2015,09/15/2015,2015,108818.0,Junior,General,Relevant,1.2981756685339816
3843,FORD MOTOR COMPANY,CYBERSECURITY SYSTEMS ENGINEER,86400.0,"FARMINGTON HILLS, MI",11/09/2021,12/13/2021,2021,95447.0,Junior,Electrical,Relevant,1.104706635773598
3844,FORD MOTOR COMPANY,D&R ENGINEER PD,113660.0,"DEARBORN, MI",01/11/2023,07/07/2023,2023,113660.0,Junior,General,Relevant,1.0
3845,FORD MOTOR COMPANY,D-FORD DESIGN PROTOTYPER,73560.0,"STREAMWOOD, IL",04/26/2021,05/10/2021,2021,81262.0,Junior,,Relevant,1.104706635773598
3846,FORD MOTOR COMPANY,D-FORD DESIGN PROTOTYPER,73560.0,"ALLEN PARK, MI",05/16/2022,05/16/2022,2022,77178.0,Junior,,Relevant,1.0491910269771574
3847,FORD MOTOR COMPANY,D-FORD SR. INTERACTION DESIGNER,96387.0,"NORTHVILLE, MI",03/09/2021,03/22/2021,2021,106479.0,Senior,,Relevant,1.104706635773598
3848,FORD MOTOR COMPANY,DASHBOARD & DATA INTEGRITY ASSURANCE SUPERVISOR,116050.0,"BELLEVILLE, MI",11/09/2021,11/10/2021,2021,128201.0,Junior,Software,Relevant,1.104706635773598
3849,FORD MOTOR COMPANY,DAT - ATTRIBUTE ENGINEER,75420.0,"DEARBORN, MI",02/09/2022,03/14/2022,2022,79130.0,Junior,General,Relevant,1.0491910269771574
3850,FORD MOTOR COMPANY,DAT - CONTROL SYSTEM SOFTWARE RESEARCH ENGINEER,87792.0,"DEARBORN, MI",10/03/2022,10/03/2022,2022,92111.0,Junior,Software,Relevant,1.0491910269771574
3851,FORD MOTOR COMPANY,DAT 2.X TRAILER ASSIST FEATURE OWNER,92789.0,"DEARBORN, MI",11/18/2020,11/24/2020,2020,109381.0,Junior,Mechanical,Relevant,1.178816311800794
3852,FORD MOTOR COMPANY,DAT 2.X TRAILER ASSIST FEATURE OWNER,106000.0,"SUNNYVALE, CA",10/27/2022,10/31/2022,2022,111214.0,Junior,Mechanical,Relevant,1.0491910269771574
3853,FORD MOTOR COMPANY,DAT 3.X ADAS SOFTWARE PROGRAM MANAGER,121056.0,"DEARBORN, MI",11/15/2021,12/13/2021,2021,133731.0,Junior,PM,Relevant,1.104706635773598
3854,FORD MOTOR COMPANY,DAT 3.X ADAS SOFTWARE PROJECT MANAGER,100942.0,"WEST BLOOMFIELD, MI",04/06/2022,04/18/2022,2022,105907.0,Junior,PM,Relevant,1.0491910269771574
3855,FORD MOTOR COMPANY,DAT 3.X ADAS SOFTWARE PROJECT MANAGER,102900.0,"NOVI, MI",02/25/2022,04/11/2022,2022,107962.0,Junior,PM,Relevant,1.0491910269771574
3856,FORD MOTOR COMPANY,DAT 3.X ADAS SOFTWARE PROJECT MANAGER,133174.0,"DEARBORN, MI",09/28/2022,03/21/2023,2023,133174.0,Junior,PM,Relevant,1.0
3857,FORD MOTOR COMPANY,DAT ADAS FEATURE OWNER ENGINEER,80330.0,"DEARBORN, MI",03/09/2020,09/05/2020,2020,94694.0,Junior,Mechanical,Relevant,1.178816311800794
3858,FORD MOTOR COMPANY,DAT ALGORITHM ENGINEER,81827.0,"SOUTHGATE, MI",04/07/2021,09/14/2021,2021,90395.0,Junior,Software,Relevant,1.104706635773598
3859,FORD MOTOR COMPANY,DAT ALGORITHM ENGINEER,87838.0,"DEARBORN, MI",04/07/2021,09/03/2021,2021,97035.0,Junior,Software,Relevant,1.104706635773598
3860,FORD MOTOR COMPANY,DAT ALGORITHM ENGINEER,88260.0,"DEARBORN, MI",03/14/2022,04/25/2022,2022,92602.0,Junior,Software,Relevant,1.0491910269771574
3861,FORD MOTOR COMPANY,DAT AV ATTRIBUTE ENGINEER,75420.0,"DEARBORN, MI",03/04/2022,08/20/2022,2022,79130.0,Junior,General,Relevant,1.0491910269771574
3862,FORD MOTOR COMPANY,DAT CAE AND SIMULATIONS RESEARCH ENGINEER,88260.0,"NOVI, MI",03/09/2022,08/19/2022,2022,92602.0,Junior,Software,Relevant,1.0491910269771574
3863,FORD MOTOR COMPANY,DAT CAE AND SYSTEMS ENGINEERING SUPERVISOR,113443.0,"ANN ARBOR, MI",04/22/2021,05/03/2021,2021,125321.0,Junior,Mechanical,Relevant,1.104706635773598
3864,FORD MOTOR COMPANY,DAT CAMERA SYSTEM FEATURE OWNER,73560.0,"FARMINGTON HILLS, MI",06/28/2021,06/28/2021,2021,81262.0,Junior,Mechanical,Relevant,1.104706635773598
3865,FORD MOTOR COMPANY,DAT CORE FEATURE ARCHITECT,115211.0,"DEARBORN, MI",07/28/2022,07/29/2022,2022,120878.0,Junior,Mechanical,Relevant,1.0491910269771574
3866,FORD MOTOR COMPANY,DAT CORE FEATURE OWNER,75420.0,"CLAWSON, MI",10/01/2021,11/08/2021,2021,83317.0,Junior,Mechanical,Relevant,1.104706635773598
3867,FORD MOTOR COMPANY,DAT CORE HARDWARE ENGINEER,95680.0,"BLOOMFIELD HILLS, MI",09/02/2020,09/10/2020,2020,112789.0,Junior,General,Relevant,1.178816311800794
3868,FORD MOTOR COMPANY,DAT CORE SYSTEMS ENGINEER,84300.0,"TROY, MI",03/31/2021,04/12/2021,2021,93127.0,Junior,Electrical,Relevant,1.104706635773598
3869,FORD MOTOR COMPANY,DAT CORE VEHICLE FLEET VERIFICATION & VALIDATION ENGINEER,86400.0,"SOUTHFIELD, MI",02/21/2022,03/28/2022,2022,90650.0,Junior,Vehicle,Vehicle,1.0491910269771574
3870,FORD MOTOR COMPANY,DAT CYBER SECURITY SYSTEMS ENGINEER,73560.0,"DEARBORN, MI",04/22/2022,10/01/2022,2022,77178.0,Junior,Electrical,Relevant,1.0491910269771574
3871,FORD MOTOR COMPANY,DAT DIAGNOSTICS SOFTWARE ENGINEER,76200.0,"DEARBORN, MI",04/18/2023,08/23/2023,2023,76200.0,Junior,Software,Relevant,1.0
3872,FORD MOTOR COMPANY,DAT DIAGNOSTICS SOFTWARE ENGINEER,88260.0,"DEARBORN, MI",05/09/2022,06/13/2022,2022,92602.0,Junior,Software,Relevant,1.0491910269771574
3873,FORD MOTOR COMPANY,DAT DRIVER ASSIST TECHNOLOGIES CAMERA SYSTEM PAT PROJECT M,75420.0,"FARMINGTON HILLS, MI",11/19/2021,01/17/2022,2022,79130.0,Junior,Electrical,Relevant,1.0491910269771574
3874,FORD MOTOR COMPANY,DAT EMBEDDED IMAGE SIGNAL PROCESSOR ENGINEER,80163.0,"DEARBORN, MI",03/03/2022,08/11/2022,2022,84106.0,Junior,Manufacturing,Relevant,1.0491910269771574
3875,FORD MOTOR COMPANY,DAT EMBEDDED IMAGE SIGNAL PROCESSOR ENGINEER â ENTRY LEVEL,64860.0,"DEARBORN, MI",03/03/2022,08/16/2022,2022,68051.0,Junior,Manufacturing,Relevant,1.0491910269771574
3876,FORD MOTOR COMPANY,DAT EMBEDDED SOFTWARE ENGINEER - BSP,96450.0,"FARMINGTON HILLS, MI",12/13/2021,01/24/2022,2022,101194.0,Junior,Software,Relevant,1.0491910269771574
3877,FORD MOTOR COMPANY,DAT EMBEDDED SOFTWARE ENGINEER - VISION,80163.0,"ROCHESTER HILLS, MI",11/30/2021,01/10/2022,2022,84106.0,Junior,Software,Relevant,1.0491910269771574
3878,FORD MOTOR COMPANY,DAT FEATURE & SOFTWARE ENGINEER,126180.0,"PALO ALTO, CA",03/20/2023,03/20/2023,2023,126180.0,Junior,Software,Relevant,1.0
3879,FORD MOTOR COMPANY,DAT FEATURE AND SOFTWARE ENGINEER,71340.0,"ANN ARBOR, MI",03/10/2023,08/18/2023,2023,71340.0,Junior,Software,Relevant,1.0
3880,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,75420.0,"DEARBORN, MI",03/28/2022,05/02/2022,2022,79130.0,Junior,Test/QA,Relevant,1.0491910269771574
3881,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,84032.0,"DEARBORN, MI",07/20/2022,07/20/2022,2022,88166.0,Junior,Test/QA,Relevant,1.0491910269771574
3882,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,84032.0,"FARMINGTON HILLS, MI",11/03/2021,11/22/2021,2021,92831.0,Junior,Test/QA,Relevant,1.104706635773598
3883,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,88260.0,"DEARBORN, MI",07/20/2022,07/20/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3884,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,88260.0,"DEARBORN, MI",04/13/2022,05/16/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3885,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,88260.0,"DEARBORN, MI",04/21/2022,05/31/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3886,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,88260.0,"DEARBORN, MI",05/11/2022,05/16/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3887,FORD MOTOR COMPANY,DAT FEATURE APPLICATION ENGINEER,88260.0,"DEARBORN, MI",06/10/2022,06/27/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3888,FORD MOTOR COMPANY,DAT FEATURE ENGINEER,85405.0,"DEARBORN, MI",03/03/2023,08/11/2023,2023,85405.0,Junior,Mechanical,Relevant,1.0
3889,FORD MOTOR COMPANY,DAT FEATURE QUALITY PROCESS SPECIALIST,100942.0,"DEARBORN, MI",05/12/2022,06/13/2022,2022,105907.0,Junior,Test/QA,Relevant,1.0491910269771574
3890,FORD MOTOR COMPANY,DAT FEATURE SIMULATION ENGINEER,75420.0,"SOUTHFIELD, MI",03/10/2022,03/28/2022,2022,79130.0,Junior,Software,Relevant,1.0491910269771574
3891,FORD MOTOR COMPANY,DAT FEATURE VALIDATION ENGINEER,75420.0,"DEARBORN, MI",04/27/2022,06/06/2022,2022,79130.0,Junior,Test/QA,Relevant,1.0491910269771574
3892,FORD MOTOR COMPANY,DAT FEATURE VALIDATION ENGINEER,88260.0,"BLOOMFIELD HILLS, MI",05/11/2022,06/06/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3893,FORD MOTOR COMPANY,DAT FOUNDATIONAL SOFTWARE TEST ENGINEER - ENTRY LEVEL,88260.0,"DEARBORN, MI",04/28/2022,06/06/2022,2022,92602.0,Junior,Software,Relevant,1.0491910269771574
3894,FORD MOTOR COMPANY,DAT FUNCTIONAL SAFETY APPS SYSTEMS ENG - ENTRY LEVEL,102900.0,"DEARBORN, MI",10/06/2021,10/25/2021,2021,113674.0,Junior,Safety/Thermal,Relevant,1.104706635773598
3895,FORD MOTOR COMPANY,DAT FUNCTIONAL SAFETY CORE SYSTEMS ENGINEER,86400.0,"LIVONIA, MI",01/21/2022,02/14/2022,2022,90650.0,Junior,Safety/Thermal,Relevant,1.0491910269771574
3896,FORD MOTOR COMPANY,DAT FUNCTIONAL SAFETY CORE SYSTEMS ENGINEER,105420.0,"ROCHESTER HILLS, MI",03/30/2022,04/18/2022,2022,110606.0,Junior,Safety/Thermal,Relevant,1.0491910269771574
3897,FORD MOTOR COMPANY,DAT FUNCTIONAL SAFETY SYSTEMS ENGINEER,102900.0,"TROY, MI",10/28/2021,11/29/2021,2021,113674.0,Junior,Safety/Thermal,Relevant,1.104706635773598
3898,FORD MOTOR COMPANY,DAT FUNCTIONAL SAFETY SYSTEMS ENGINEER,102900.0,"TROY, MI",11/01/2021,01/03/2022,2022,107962.0,Junior,Safety/Thermal,Relevant,1.0491910269771574
3899,FORD MOTOR COMPANY,DAT FUNCTIONAL SAFETY SYSTEMS ENGINEER,102900.0,"FARMINGTON, MI",11/11/2021,01/03/2022,2022,107962.0,Junior,Safety/Thermal,Relevant,1.0491910269771574
3900,FORD MOTOR COMPANY,DAT IN-HOUSE PERCEPTION ALGORITHM ENGINEER,105420.0,"DEARBORN, MI",06/17/2022,07/05/2022,2022,110606.0,Junior,Software,Relevant,1.0491910269771574
3901,FORD MOTOR COMPANY,DAT MBD ENGINEER,86400.0,"SHELBY TOWNSHIP, MI",01/03/2022,02/14/2022,2022,90650.0,Junior,General,Relevant,1.0491910269771574
3902,FORD MOTOR COMPANY,DAT MBD SOFTWARE ENGINEER,88260.0,"DEARBORN, MI",05/19/2022,06/27/2022,2022,92602.0,Junior,Software,Relevant,1.0491910269771574
3903,FORD MOTOR COMPANY,DAT PARK AID APPLICATION ENGINEER,105420.0,"DEARBORN, MI",04/21/2022,05/23/2022,2022,110606.0,Junior,Test/QA,Relevant,1.0491910269771574
3904,FORD MOTOR COMPANY,DAT SAFETY SOFTWARE ARCHITECT,117166.0,"DEARBORN, MI",11/15/2022,11/16/2022,2022,122930.0,Junior,Software,Relevant,1.0491910269771574
3905,FORD MOTOR COMPANY,DAT SENSING HARDWARE ENGINEER,104770.0,"DEARBORN, MI",06/30/2022,07/06/2022,2022,109924.0,Junior,General,Relevant,1.0491910269771574
3906,FORD MOTOR COMPANY,DAT SENSING INTERFACES ENGINEER,88260.0,"WEST BLOOMFIELD, MI",03/18/2022,04/11/2022,2022,92602.0,Junior,General,Relevant,1.0491910269771574
3907,FORD MOTOR COMPANY,DAT SIMULATION ENGINEER,75420.0,"DEARBORN, MI",01/04/2022,05/03/2022,2022,79130.0,Junior,Software,Relevant,1.0491910269771574
3908,FORD MOTOR COMPANY,DAT SIMULATION VALIDATION ENGINEER,75420.0,"DEARBORN, MI",09/29/2021,09/29/2021,2021,83317.0,Junior,Software,Relevant,1.104706635773598
3909,FORD MOTOR COMPANY,DAT SIMULATION VALIDATION ENGINEER,81931.0,"CHICAGO, IL",04/13/2021,05/10/2021,2021,90510.0,Junior,Software,Relevant,1.104706635773598
3910,FORD MOTOR COMPANY,DAT SOFTWARE ENGINEER,80163.0,"FARMINGTON HILLS, MI",10/05/2021,11/01/2021,2021,88557.0,Junior,Software,Relevant,1.104706635773598
3911,FORD MOTOR COMPANY,DAT SOFTWARE PROCESS & QUALITY ENGINEER,102900.0,"NOVI, MI",01/31/2022,03/14/2022,2022,107962.0,Junior,Software,Relevant,1.0491910269771574
3912,FORD MOTOR COMPANY,DAT SOFTWARE PROCESS & QUALITY ENGINEER,109980.0,"DEARBORN, MI",06/15/2023,06/19/2023,2023,109980.0,Junior,Software,Relevant,1.0
3913,FORD MOTOR COMPANY,DAT SURROUND VIEW CAMERA APPLICATION ENGINEER,88260.0,"DEARBORN, MI",06/09/2022,07/05/2022,2022,92602.0,Junior,Test/QA,Relevant,1.0491910269771574
3914,FORD MOTOR COMPANY,DAT SYSTEM APPLICATION ENGINEER,75420.0,"PLYMOUTH, MI",11/15/2021,01/03/2022,2022,79130.0,Junior,Test/QA,Relevant,1.0491910269771574
3915,FORD MOTOR COMPANY,DAT SYSTEMS APPLICATION ENGINEER,86100.0,"DEARBORN, MI",11/23/2021,11/29/2021,2021,95115.0,Junior,Test/QA,Relevant,1.104706635773598
3916,FORD MOTOR COMPANY,DAT SYSTEMS FEATURE APPLICATION ENGINEER,86400.0,"CANTON, MI",09/19/2021,09/20/2021,2021,95447.0,Junior,Test/QA,Relevant,1.104706635773598
3917,FORD MOTOR COMPANY,DAT SYSTEMS FUNCTIONAL SAFETY ENGINEER,75420.0,"DEARBORN, MI",03/08/2022,08/23/2022,2022,79130.0,Junior,Safety/Thermal,Relevant,1.0491910269771574
3918,FORD MOTOR COMPANY,DAT SYSTEMS FUNCTIONAL SAFETY ENGINEER,75420.0,"DEARBORN, MI",06/16/2022,10/01/2022,2022,79130.0,Junior,Safety/Thermal,Relevant,1.0491910269771574
3919,FORD MOTOR COMPANY,DAT TEST AUTOMATION DEVELOPER,71760.0,"SUNRISE, FL",03/11/2020,09/04/2020,2020,84592.0,Junior,Software,Relevant,1.178816311800794
3920,FORD MOTOR COMPANY,DAT TEST AUTOMATION FRAMEWORK AND TOOLS DEVELOPER,82320.0,"SUNRISE, FL",09/17/2019,09/30/2019,2019,98362.0,Junior,Software,Relevant,1.1948718547401682
3921,FORD MOTOR COMPANY,DAT TRAILERING FEATURES SYSTEM ENGINEER,88260.0,"DEARBORN, MI",04/28/2022,05/16/2022,2022,92602.0,Junior,Mechanical,Relevant,1.0491910269771574
3922,FORD MOTOR COMPANY,DAT TRAILERING FEATURES SYSTEM ENGINEER,92040.0,"JACKSONVILLE, FL",06/06/2023,07/02/2023,2023,92040.0,Junior,Mechanical,Relevant,1.0
3923,FORD MOTOR COMPANY,DAT â SIMULATION VALIDATION ENGINEER,98259.0,"SOUTHGATE, MI",02/21/2022,04/11/2022,2022,103092.0,Junior,Software,Relevant,1.0491910269771574
3924,FORD MOTOR COMPANY,"DAT, SYSTEMS TESTING AND DEVELOPMENT ENGINEER",68370.0,"DEARBORN, MI",10/03/2016,10/10/2016,2016,86952.0,Junior,Test/QA,Relevant,1.2717908148049968
3925,FORD MOTOR COMPANY,"DAT, SYSTEMS TESTING AND DEVELOPMENT ENGINEER",90000.0,"DEARBORN, MI",11/06/2019,11/13/2019,2019,107538.0,Junior,Test/QA,Relevant,1.1948718547401682
3926,FORD MOTOR COMPANY,DAT2 ADAS ECU SOFTWARE ARCHITECT,117499.0,"DEARBORN, MI",11/23/2020,11/23/2020,2020,138510.0,Junior,Software,Relevant,1.178816311800794
3927,FORD MOTOR COMPANY,DAT2 ALGORITHM ENGINEER,61140.0,"DEARBORN, MI",01/30/2019,07/30/2019,2019,73054.0,Junior,Software,Relevant,1.1948718547401682
3928,FORD MOTOR COMPANY,DAT2 ALGORITHM ENGINEER,61140.0,"DEARBORN, MI",01/30/2019,07/31/2019,2019,73054.0,Junior,Software,Relevant,1.1948718547401682
3929,FORD MOTOR COMPANY,DAT2 ALGORITHM ENGINEER,79248.0,"FARMINGTON HILLS, MI",06/14/2021,11/05/2021,2021,87546.0,Junior,Software,Relevant,1.104706635773598
3930,FORD MOTOR COMPANY,DAT2 EMBEDDED VISION FRAMEWORK SOFTWARE ENGINEER,75725.0,"CANTON, MI",12/09/2020,12/14/2020,2020,89266.0,Junior,Software,Relevant,1.178816311800794
3931,FORD MOTOR COMPANY,DAT2 FEATURE MODEL ENGINEER,86828.0,"DEARBORN, MI",02/05/2021,02/15/2021,2021,95919.0,Junior,Software,Relevant,1.104706635773598
3932,FORD MOTOR COMPANY,DAT2 SW VERIFICATION AND VALIDATION ENGINEER,82555.0,"ALLEN PARK, MI",05/19/2021,09/21/2021,2021,91199.0,Junior,Test/QA,Relevant,1.104706635773598
